name	type	units	description
Fp1	EEG	uV	Scalp EEG electrode
Fz	EEG	uV	Scalp EEG electrode
F3	EEG	uV	Scalp EEG electrode
F7	EEG	uV	Scalp EEG electrode
FT9	EEG	uV	Scalp EEG electrode
FC5	EEG	uV	Scalp EEG electrode
FC1	EEG	uV	Scalp EEG electrode
C3	EEG	uV	Scalp EEG electrode
T7	EEG	uV	Scalp EEG electrode
TP9	EEG	uV	Scalp EEG electrode
CP5	EEG	uV	Scalp EEG electrode
CP1	EEG	uV	Scalp EEG electrode
P3	EEG	uV	Scalp EEG electrode
P7	EEG	uV	Scalp EEG electrode
O1	EEG	uV	Scalp EEG electrode
Oz	EEG	uV	Scalp EEG electrode
O2	EEG	uV	Scalp EEG electrode
P4	EEG	uV	Scalp EEG electrode
P8	EEG	uV	Scalp EEG electrode
TP10	EEG	uV	Scalp EEG electrode
CP6	EEG	uV	Scalp EEG electrode
CP2	EEG	uV	Scalp EEG electrode
Cz	EEG	uV	Scalp EEG electrode
C4	EEG	uV	Scalp EEG electrode
T8	EEG	uV	Scalp EEG electrode
FT10	EEG	uV	Scalp EEG electrode
FC6	EEG	uV	Scalp EEG electrode
FC2	EEG	uV	Scalp EEG electrode
F4	EEG	uV	Scalp EEG electrode
F8	EEG	uV	Scalp EEG electrode
Fp2	EEG	uV	Scalp EEG electrode
AF7	EEG	uV	Scalp EEG electrode
AF3	EEG	uV	Scalp EEG electrode
AFz	EEG	uV	Scalp EEG electrode
F1	EEG	uV	Scalp EEG electrode
F5	EEG	uV	Scalp EEG electrode
FT7	EEG	uV	Scalp EEG electrode
FC3	EEG	uV	Scalp EEG electrode
C1	EEG	uV	Scalp EEG electrode
C5	EEG	uV	Scalp EEG electrode
TP7	EEG	uV	Scalp EEG electrode
CP3	EEG	uV	Scalp EEG electrode
P1	EEG	uV	Scalp EEG electrode
P5	EEG	uV	Scalp EEG electrode
PO7	EEG	uV	Scalp EEG electrode
PO3	EEG	uV	Scalp EEG electrode
POz	EEG	uV	Scalp EEG electrode
PO4	EEG	uV	Scalp EEG electrode
PO8	EEG	uV	Scalp EEG electrode
P6	EEG	uV	Scalp EEG electrode
P2	EEG	uV	Scalp EEG electrode
CPz	EEG	uV	Scalp EEG electrode
CP4	EEG	uV	Scalp EEG electrode
TP8	EEG	uV	Scalp EEG electrode
C6	EEG	uV	Scalp EEG electrode
C2	EEG	uV	Scalp EEG electrode
FC4	EEG	uV	Scalp EEG electrode
FT8	EEG	uV	Scalp EEG electrode
F6	EEG	uV	Scalp EEG electrode
AF8	EEG	uV	Scalp EEG electrode
AF4	EEG	uV	Scalp EEG electrode
F2	EEG	uV	Scalp EEG electrode
FCz	EEG	uV	Scalp EEG electrode
